Indicator.,CountryCode,Country,Representativeness.,Representativeness name,Area covered,Date,Begin month,Begin year,End month,End year,Population,Gender,Age unit,Age from,Age to,Sample size,Indicator unit,Mean,Geo mean,Median,SD,SE,L95CI,U95CI,Deficiency cut-off,Deficiency prevalence,Insufficiency cut-off,Insufficiency prevalence,Sample collection method,Sample type,Fasting,Method of analysis,General data comments,Indicator comments,Survey methodology,Season,Old Reference no# 1,Reference no# 1,Reference 1,Link to reference 1,Old Reference no# 2,Reference no# 2,Reference 2,Link to reference 2,Old Reference no# 3,Reference no# 3,Reference 3,Link to reference 3,SurveyId,Survey status
25-Hydroxyvitamin D,GBR,United Kingdom of Great Britain and Northern,national,,both urban and rural,1995,10,1994,9,1995,Elderly,All,Year,65,,927,nmol/L,55.5,,52.4,26.9,,,,<25 nmol/L,8,,,Venipuncture,Blood plasma,Fasting/first morning sample,Radioimmunoassay (RIA),No upper bound of age range provided (over 85 years). Prevalence <30 nmol/L = 16%; <20 nmol/L = 5%.,"Plasma 25(OH)-vitamin D assessed using the Incstar (Minnesota, USA) 25(OH)-vitamin D RIA kit assay. QC materials comprised of 1) spiked serum with an assigned value, provided with the kit 2) serum with an assigned (Incstar) value, obtained from BioRad Inc; and c) EQAS samples. The assay procedure was considered very specific for 25(OH)D (D2+D3) because of high specificity of the antibody.","Nationally representative samples of free-living elderly individuals and living in institutions. Only data for free-living elderly individuals is reported here.  Postal sectors served as first stage units, with 80 sectors selected, then 375 households selected.",All seasons,3260,11,"Finch S, Doyle W, Lowe C, Bates CJ, Perntice A, Smithers G et al. National Diet and Nutrition Survey: people aged 65 years and over. Volume 1: Report of the diet and nutrition survey. London: Her Majesty's Stationery Office; 1998.",http://www.dh.gov.uk/en/Publicationsandstatistics/Publications/PublicationsStatistics/DH_4003159,,,,,,,,,10010,verified
25-Hydroxyvitamin D,GBR,United Kingdom of Great Britain and Northern,national,,both urban and rural,1995,10,1994,9,1995,Elderly,Female,Year,65,,451,nmol/L,51.7,,47.3,24.7,,,,<25 nmol/L,10,,,Venipuncture,Blood plasma,Fasting/first morning sample,Radioimmunoassay (RIA),"Prevalence <30 nmol/L = 20%; <20 nmol/L = 6%
No upper bound of age range provided (over 85 years).","Plasma 25(OH)-vitamin D assessed using the Incstar (Minnesota, USA) 25(OH)-vitamin D RIA kit assay. QC materials comprised of 1) spiked serum with an assigned value, provided with the kit 2) serum with an assigned (Incstar) value, obtained from BioRad Inc; and c) EQAS samples. The assay procedure was considered very specific for 25(OH)D (D2+D3) because of high specificity of the antibody.","Nationally representative samples of free-living elderly individuals and living in institutions. Only data for free-living elderly individuals is reported here.  Postal sectors served as first stage units, with 80 sectors selected, then 375 households selected.",All seasons,3260,11,"Finch S, Doyle W, Lowe C, Bates CJ, Perntice A, Smithers G et al. National Diet and Nutrition Survey: people aged 65 years and over. Volume 1: Report of the diet and nutrition survey. London: Her Majesty's Stationery Office; 1998.",http://www.dh.gov.uk/en/Publicationsandstatistics/Publications/PublicationsStatistics/DH_4003159,,,,,,,,,10010,verified
25-Hydroxyvitamin D,GBR,United Kingdom of Great Britain and Northern,national,,both urban and rural,1995,10,1994,9,1995,Elderly,Female,Year,65,74,186,nmol/L,54.6,,52.4,25.1,,,,<25 nmol/L,6,,,Venipuncture,Blood plasma,Fasting/first morning sample,Radioimmunoassay (RIA),"Prevalence <30 nmol/L = 16%
Prevalence <20 nmol/L = 4%","Plasma 25(OH)-vitamin D assessed using the Incstar (Minnesota, USA) 25(OH)-vitamin D RIA kit assay. QC materials comprised of 1) spiked serum with an assigned value, provided with the kit 2) serum with an assigned (Incstar) value, obtained from BioRad Inc; and c) EQAS samples. The assay procedure was considered very specific for 25(OH)D (D2+D3) because of high specificity of the antibody.","Nationally representative samples of free-living elderly individuals and living in institutions. Only data for free-living elderly individuals is reported here.  Postal sectors served as first stage units, with 80 sectors selected, then 375 households selected.",All seasons,3260,11,"Finch S, Doyle W, Lowe C, Bates CJ, Perntice A, Smithers G et al. National Diet and Nutrition Survey: people aged 65 years and over. Volume 1: Report of the diet and nutrition survey. London: Her Majesty's Stationery Office; 1998.",http://www.dh.gov.uk/en/Publicationsandstatistics/Publications/PublicationsStatistics/DH_4003159,,,,,,,,,10010,verified
25-Hydroxyvitamin D,GBR,United Kingdom of Great Britain and Northern,national,,both urban and rural,1995,10,1994,9,1995,Elderly,Female,Year,75,84,155,nmol/L,49.7,,46.9,24,,,,<25 nmol/L,15,,,Venipuncture,Blood plasma,Fasting/first morning sample,Radioimmunoassay (RIA),"Prevalence <30 nmol/L = 24%
Prevalence <20 nmol/L = 7%","Plasma 25(OH)-vitamin D assessed using the Incstar (Minnesota, USA) 25(OH)-vitamin D RIA kit assay. QC materials comprised of 1) spiked serum with an assigned value, provided with the kit 2) serum with an assigned (Incstar) value, obtained from BioRad Inc; and c) EQAS samples. The assay procedure was considered very specific for 25(OH)D (D2+D3) because of high specificity of the antibody.","Nationally representative samples of free-living elderly individuals and living in institutions. Only data for free-living elderly individuals is reported here.  Postal sectors served as first stage units, with 80 sectors selected, then 375 households selected.",All seasons,3260,11,"Finch S, Doyle W, Lowe C, Bates CJ, Perntice A, Smithers G et al. National Diet and Nutrition Survey: people aged 65 years and over. Volume 1: Report of the diet and nutrition survey. London: Her Majesty's Stationery Office; 1998.",http://www.dh.gov.uk/en/Publicationsandstatistics/Publications/PublicationsStatistics/DH_4003159,,,,,,,,,10010,verified
25-Hydroxyvitamin D,GBR,United Kingdom of Great Britain and Northern,national,,both urban and rural,1995,10,1994,9,1995,Elderly,Female,Year,85,,110,nmol/L,41.5,,36.3,21.5,,,,<25 nmol/L,25,,,Venipuncture,Blood plasma,Fasting/first morning sample,Radioimmunoassay (RIA),"Prevalence <30 nmol/L = 31%;  <20 nmol/L = 15%
No upper bound of age range provided (over 85 years).","Plasma 25(OH)-vitamin D assessed using the Incstar (Minnesota, USA) 25(OH)-vitamin D RIA kit assay. QC materials comprised of 1) spiked serum with an assigned value, provided with the kit 2) serum with an assigned (Incstar) value, obtained from BioRad Inc; and c) EQAS samples. The assay procedure was considered very specific for 25(OH)D (D2+D3) because of high specificity of the antibody.","Nationally representative samples of free-living elderly individuals and living in institutions. Only data for free-living elderly individuals is reported here.  Postal sectors served as first stage units, with 80 sectors selected, then 375 households selected.",All seasons,3260,11,"Finch S, Doyle W, Lowe C, Bates CJ, Perntice A, Smithers G et al. National Diet and Nutrition Survey: people aged 65 years and over. Volume 1: Report of the diet and nutrition survey. London: Her Majesty's Stationery Office; 1998.",http://www.dh.gov.uk/en/Publicationsandstatistics/Publications/PublicationsStatistics/DH_4003159,,,,,,,,,10010,verified
25-Hydroxyvitamin D,GBR,United Kingdom of Great Britain and Northern,national,,both urban and rural,1995,10,1994,9,1995,Elderly,Male,Year,65,,476,nmol/L,60.4,,55.1,28.8,,,,<25 nmol/L,6,,,Venipuncture,Blood plasma,Fasting/first morning sample,Radioimmunoassay (RIA),"Prevalence <30 nmol/L = 11%; <20 nmol/L = 4%
No upper bound of age range provided (over 85 years).","Plasma 25(OH)-vitamin D assessed using the Incstar (Minnesota, USA) 25(OH)-vitamin D RIA kit assay. QC materials comprised of 1) spiked serum with an assigned value, provided with the kit 2) serum with an assigned (Incstar) value, obtained from BioRad Inc; and c) EQAS samples. The assay procedure was considered very specific for 25(OH)D (D2+D3) because of high specificity of the antibody.","Nationally representative samples of free-living elderly individuals and living in institutions. Only data for free-living elderly individuals is reported here.  Postal sectors served as first stage units, with 80 sectors selected, then 375 households selected.",All seasons,3260,11,"Finch S, Doyle W, Lowe C, Bates CJ, Perntice A, Smithers G et al. National Diet and Nutrition Survey: people aged 65 years and over. Volume 1: Report of the diet and nutrition survey. London: Her Majesty's Stationery Office; 1998.",http://www.dh.gov.uk/en/Publicationsandstatistics/Publications/PublicationsStatistics/DH_4003159,,,,,,,,,10010,verified
25-Hydroxyvitamin D,GBR,United Kingdom of Great Britain and Northern,national,,both urban and rural,1995,10,1994,9,1995,Elderly,Male,Year,65,74,212,nmol/L,63.7,,59.6,30,,,,<25 nmol/L,5,,,Venipuncture,Blood plasma,Fasting/first morning sample,Radioimmunoassay (RIA),"Prevalence <30 nmol/L = 10%
Prevalence <20 nmol/L = 3%","Plasma 25(OH)-vitamin D assessed using the Incstar (Minnesota, USA) 25(OH)-vitamin D RIA kit assay. QC materials comprised of 1) spiked serum with an assigned value, provided with the kit 2) serum with an assigned (Incstar) value, obtained from BioRad Inc; and c) EQAS samples. The assay procedure was considered very specific for 25(OH)D (D2+D3) because of high specificity of the antibody.","Nationally representative samples of free-living elderly individuals and living in institutions. Only data for free-living elderly individuals is reported here.  Postal sectors served as first stage units, with 80 sectors selected, then 375 households selected.",All seasons,3260,11,"Finch S, Doyle W, Lowe C, Bates CJ, Perntice A, Smithers G et al. National Diet and Nutrition Survey: people aged 65 years and over. Volume 1: Report of the diet and nutrition survey. London: Her Majesty's Stationery Office; 1998.",http://www.dh.gov.uk/en/Publicationsandstatistics/Publications/PublicationsStatistics/DH_4003159,,,,,,,,,10010,verified
25-Hydroxyvitamin D,GBR,United Kingdom of Great Britain and Northern,national,,both urban and rural,1995,10,1994,9,1995,Elderly,Male,Year,75,84,196,nmol/L,54.7,,48.1,24.9,,,,<25 nmol/L,5,,,Venipuncture,Blood plasma,Fasting/first morning sample,Radioimmunoassay (RIA),"Prevalence <30 nmol/L = 11%
Prevalence <20 nmol/L = 3%","Plasma 25(OH)-vitamin D assessed using the Incstar (Minnesota, USA) 25(OH)-vitamin D RIA kit assay. QC materials comprised of 1) spiked serum with an assigned value, provided with the kit 2) serum with an assigned (Incstar) value, obtained from BioRad Inc; and c) EQAS samples. The assay procedure was considered very specific for 25(OH)D (D2+D3) because of high specificity of the antibody.","Nationally representative samples of free-living elderly individuals and living in institutions. Only data for free-living elderly individuals is reported here.  Postal sectors served as first stage units, with 80 sectors selected, then 375 households selected.",All seasons,3260,11,"Finch S, Doyle W, Lowe C, Bates CJ, Perntice A, Smithers G et al. National Diet and Nutrition Survey: people aged 65 years and over. Volume 1: Report of the diet and nutrition survey. London: Her Majesty's Stationery Office; 1998.",http://www.dh.gov.uk/en/Publicationsandstatistics/Publications/PublicationsStatistics/DH_4003159,,,,,,,,,10010,verified
25-Hydroxyvitamin D,GBR,United Kingdom of Great Britain and Northern,national,,both urban and rural,1995,10,1994,9,1995,Elderly,Male,Year,85,,68,nmol/L,46.7,,43.4,23.1,,,,<25 nmol/L,13,,,Venipuncture,Blood plasma,Fasting/first morning sample,Radioimmunoassay (RIA),"Prevalence <30 nmol/L = 22%; <20 nmol/L = 9%
No upper bound of age range provided (over 85 years).","Plasma 25(OH)-vitamin D assessed using the Incstar (Minnesota, USA) 25(OH)-vitamin D RIA kit assay. QC materials comprised of 1) spiked serum with an assigned value, provided with the kit 2) serum with an assigned (Incstar) value, obtained from BioRad Inc; and c) EQAS samples. The assay procedure was considered very specific for 25(OH)D (D2+D3) because of high specificity of the antibody.","Nationally representative samples of free-living elderly individuals and living in institutions. Only data for free-living elderly individuals is reported here.  Postal sectors served as first stage units, with 80 sectors selected, then 375 households selected.",All seasons,3260,11,"Finch S, Doyle W, Lowe C, Bates CJ, Perntice A, Smithers G et al. National Diet and Nutrition Survey: people aged 65 years and over. Volume 1: Report of the diet and nutrition survey. London: Her Majesty's Stationery Office; 1998.",http://www.dh.gov.uk/en/Publicationsandstatistics/Publications/PublicationsStatistics/DH_4003159,,,,,,,,,10010,verified
25-Hydroxyvitamin D,GBR,United Kingdom of Great Britain and Northern,national,,both urban and rural,2001,7,2000,6,2001,Men,Male,Year,19,24,81,nmol/L,40.6,,34.1,21.93,,,,<25 nmol/L,24,,,Venipuncture,Blood plasma,Casual,Radioimmunoassay (RIA),,"Measured using the DiaSorin (previously Incstar, Minnesota, USA) 25(OH)-vitamin D RIA kit based on the developmental work of Hollis et al (Clin Chem 1993; 39:529-33). QC with internal and external procedures, including internal pool of human plasma, spiked serum with assigned 25(OH)D value provided in kit, serum with assigned 25(OH)D value from BioRad and participation in DEQAS. Traditional cut-off value (<25 nmol/L) reported in database. Prevalence at alternative cut-off values reported in Ref 37,Table 4.33 (page 82).  Prevalence by season reported in Table 4.34 (page 82).","Postal sectors (152) were selected with probability proportional to the number of postal delivery points. From each sector, 40 addresses were randomly selected. One eligible subject was selected at random from each household. Of the 3704 eligible households (out of 5673 selected), 1419 consented to a blood sample. A blood sample was obtained from 1347 subjects.  Survey only included subjects aged 19-64 years living in private households who were not pregnant or breast feeding.",All seasons,5847,32,"Hoare J, Henderson L, Bates CJ, Prentice A, Birch M, Swan G, Farron M. The National Diet & Nutrition Survey: adults aged 19 to 64 years. Volume 5: Summary report. Norwich: Her Majesty's Stationery Office; 2004.",http://tna.europarchive.org/20110116113217/http://www.food.gov.uk/science/dietarysurveys/ndnsdocuments/ndnsprevioussurveyreports/ndnsvol52004,4154,37,"Ruston D, Hoare J, Henderson L, Gregory J, Bates CJ, Prentice A et al. The National Diet & Nutrition Survey: adults aged 19 to 64 years. Volume 4: nutritional status (anthropometry and blood analytes), blood pressure and physical activity.  London: Her Majesty's Stationery Office; 2004.",http://tna.europarchive.org/20110116113217/http:/www.food.gov.uk/multimedia/pdfs/ndnsfour.pdf,,1016,"Sukumar N, Adaikalakoteswari A, Venkataraman H, Maheswaran H, Saravanan P. Vitamin B12 status in women of childbearing age in the UK and its relationship with national nutrient intake guidelines: results from two National Diet and Nutrition Surveys. BMJ Open. 2016;6:e011247. doi: 10.1136/bmjopen-2016-011247",http://bmjopen.bmj.com/content/6/8/e011247.long,10030,verified
25-Hydroxyvitamin D,GBR,United Kingdom of Great Britain and Northern,national,,both urban and rural,2001,7,2000,6,2001,Men,Male,Year,19,64,627,nmol/L,48.3,,45.5,22.02,,,,<25 nmol/L,14,,,Venipuncture,Blood plasma,Casual,Radioimmunoassay (RIA),,"Measured using the DiaSorin (previously Incstar, Minnesota, USA) 25(OH)-vitamin D RIA kit based on the developmental work of Hollis et al (Clin Chem 1993; 39:529-33). QC with internal and external procedures, including internal pool of human plasma, spiked serum with assigned 25(OH)D value provided in kit, serum with assigned 25(OH)D value from BioRad and participation in DEQAS. Traditional cut-off value (<25 nmol/L) reported in database. Prevalence at alternative cut-off values reported in Ref 37,Table 4.33 (page 82).  Prevalence by season reported in Table 4.34 (page 82).","Postal sectors (152) were selected with probability proportional to the number of postal delivery points. From each sector, 40 addresses were randomly selected. One eligible subject was selected at random from each household. Of the 3704 eligible households (out of 5673 selected), 1419 consented to a blood sample. A blood sample was obtained from 1347 subjects.  Survey only included subjects aged 19-64 years living in private households who were not pregnant or breast feeding.",All seasons,5847,32,"Hoare J, Henderson L, Bates CJ, Prentice A, Birch M, Swan G, Farron M. The National Diet & Nutrition Survey: adults aged 19 to 64 years. Volume 5: Summary report. Norwich: Her Majesty's Stationery Office; 2004.",http://tna.europarchive.org/20110116113217/http://www.food.gov.uk/science/dietarysurveys/ndnsdocuments/ndnsprevioussurveyreports/ndnsvol52004,4154,37,"Ruston D, Hoare J, Henderson L, Gregory J, Bates CJ, Prentice A et al. The National Diet & Nutrition Survey: adults aged 19 to 64 years. Volume 4: nutritional status (anthropometry and blood analytes), blood pressure and physical activity.  London: Her Majesty's Stationery Office; 2004.",http://tna.europarchive.org/20110116113217/http:/www.food.gov.uk/multimedia/pdfs/ndnsfour.pdf,,1016,"Sukumar N, Adaikalakoteswari A, Venkataraman H, Maheswaran H, Saravanan P. Vitamin B12 status in women of childbearing age in the UK and its relationship with national nutrient intake guidelines: results from two National Diet and Nutrition Surveys. BMJ Open. 2016;6:e011247. doi: 10.1136/bmjopen-2016-011247",http://bmjopen.bmj.com/content/6/8/e011247.long,10030,verified
25-Hydroxyvitamin D,GBR,United Kingdom of Great Britain and Northern,national,,both urban and rural,2001,7,2000,6,2001,Men,Male,Year,25,34,165,nmol/L,48.8,,44.9,23.33,,,,<25 nmol/L,16,,,Venipuncture,Blood plasma,Casual,Radioimmunoassay (RIA),,"Measured using the DiaSorin (previously Incstar, Minnesota, USA) 25(OH)-vitamin D RIA kit based on the developmental work of Hollis et al (Clin Chem 1993; 39:529-33). QC with internal and external procedures, including internal pool of human plasma, spiked serum with assigned 25(OH)D value provided in kit, serum with assigned 25(OH)D value from BioRad and participation in DEQAS. Traditional cut-off value (<25 nmol/L) reported in database. Prevalence at alternative cut-off values reported in Ref 37,Table 4.33 (page 82).  Prevalence by season reported in Table 4.34 (page 82).","Postal sectors (152) were selected with probability proportional to the number of postal delivery points. From each sector, 40 addresses were randomly selected. One eligible subject was selected at random from each household. Of the 3704 eligible households (out of 5673 selected), 1419 consented to a blood sample. A blood sample was obtained from 1347 subjects.  Survey only included subjects aged 19-64 years living in private households who were not pregnant or breast feeding.",All seasons,5847,32,"Hoare J, Henderson L, Bates CJ, Prentice A, Birch M, Swan G, Farron M. The National Diet & Nutrition Survey: adults aged 19 to 64 years. Volume 5: Summary report. Norwich: Her Majesty's Stationery Office; 2004.",http://tna.europarchive.org/20110116113217/http://www.food.gov.uk/science/dietarysurveys/ndnsdocuments/ndnsprevioussurveyreports/ndnsvol52004,4154,37,"Ruston D, Hoare J, Henderson L, Gregory J, Bates CJ, Prentice A et al. The National Diet & Nutrition Survey: adults aged 19 to 64 years. Volume 4: nutritional status (anthropometry and blood analytes), blood pressure and physical activity.  London: Her Majesty's Stationery Office; 2004.",http://tna.europarchive.org/20110116113217/http:/www.food.gov.uk/multimedia/pdfs/ndnsfour.pdf,,1016,"Sukumar N, Adaikalakoteswari A, Venkataraman H, Maheswaran H, Saravanan P. Vitamin B12 status in women of childbearing age in the UK and its relationship with national nutrient intake guidelines: results from two National Diet and Nutrition Surveys. BMJ Open. 2016;6:e011247. doi: 10.1136/bmjopen-2016-011247",http://bmjopen.bmj.com/content/6/8/e011247.long,10030,verified
25-Hydroxyvitamin D,GBR,United Kingdom of Great Britain and Northern,national,,both urban and rural,2001,7,2000,6,2001,Men,Male,Year,35,49,190,nmol/L,47.8,,44.8,21.03,,,,<25 nmol/L,12,,,Venipuncture,Blood plasma,Casual,Radioimmunoassay (RIA),,"Measured using the DiaSorin (previously Incstar, Minnesota, USA) 25(OH)-vitamin D RIA kit based on the developmental work of Hollis et al (Clin Chem 1993; 39:529-33). QC with internal and external procedures, including internal pool of human plasma, spiked serum with assigned 25(OH)D value provided in kit, serum with assigned 25(OH)D value from BioRad and participation in DEQAS. Traditional cut-off value (<25 nmol/L) reported in database. Prevalence at alternative cut-off values reported in Ref 37,Table 4.33 (page 82).  Prevalence by season reported in Table 4.34 (page 82).","Postal sectors (152) were selected with probability proportional to the number of postal delivery points. From each sector, 40 addresses were randomly selected. One eligible subject was selected at random from each household. Of the 3704 eligible households (out of 5673 selected), 1419 consented to a blood sample. A blood sample was obtained from 1347 subjects.  Survey only included subjects aged 19-64 years living in private households who were not pregnant or breast feeding.",All seasons,5847,32,"Hoare J, Henderson L, Bates CJ, Prentice A, Birch M, Swan G, Farron M. The National Diet & Nutrition Survey: adults aged 19 to 64 years. Volume 5: Summary report. Norwich: Her Majesty's Stationery Office; 2004.",http://tna.europarchive.org/20110116113217/http://www.food.gov.uk/science/dietarysurveys/ndnsdocuments/ndnsprevioussurveyreports/ndnsvol52004,4154,37,"Ruston D, Hoare J, Henderson L, Gregory J, Bates CJ, Prentice A et al. The National Diet & Nutrition Survey: adults aged 19 to 64 years. Volume 4: nutritional status (anthropometry and blood analytes), blood pressure and physical activity.  London: Her Majesty's Stationery Office; 2004.",http://tna.europarchive.org/20110116113217/http:/www.food.gov.uk/multimedia/pdfs/ndnsfour.pdf,,1016,"Sukumar N, Adaikalakoteswari A, Venkataraman H, Maheswaran H, Saravanan P. Vitamin B12 status in women of childbearing age in the UK and its relationship with national nutrient intake guidelines: results from two National Diet and Nutrition Surveys. BMJ Open. 2016;6:e011247. doi: 10.1136/bmjopen-2016-011247",http://bmjopen.bmj.com/content/6/8/e011247.long,10030,verified
25-Hydroxyvitamin D,GBR,United Kingdom of Great Britain and Northern,national,,both urban and rural,2001,7,2000,6,2001,Men,Male,Year,50,64,190,nmol/L,51.6,,50.7,21.16,,,,<25 nmol/L,9,,,Venipuncture,Blood plasma,Casual,Radioimmunoassay (RIA),,"Measured using the DiaSorin (previously Incstar, Minnesota, USA) 25(OH)-vitamin D RIA kit based on the developmental work of Hollis et al (Clin Chem 1993; 39:529-33). QC with internal and external procedures, including internal pool of human plasma, spiked serum with assigned 25(OH)D value provided in kit, serum with assigned 25(OH)D value from BioRad and participation in DEQAS. Traditional cut-off value (<25 nmol/L) reported in database. Prevalence at alternative cut-off values reported in Ref 37,Table 4.33 (page 82).  Prevalence by season reported in Table 4.34 (page 82).","Postal sectors (152) were selected with probability proportional to the number of postal delivery points. From each sector, 40 addresses were randomly selected. One eligible subject was selected at random from each household. Of the 3704 eligible households (out of 5673 selected), 1419 consented to a blood sample. A blood sample was obtained from 1347 subjects.  Survey only included subjects aged 19-64 years living in private households who were not pregnant or breast feeding.",All seasons,5847,32,"Hoare J, Henderson L, Bates CJ, Prentice A, Birch M, Swan G, Farron M. The National Diet & Nutrition Survey: adults aged 19 to 64 years. Volume 5: Summary report. Norwich: Her Majesty's Stationery Office; 2004.",http://tna.europarchive.org/20110116113217/http://www.food.gov.uk/science/dietarysurveys/ndnsdocuments/ndnsprevioussurveyreports/ndnsvol52004,4154,37,"Ruston D, Hoare J, Henderson L, Gregory J, Bates CJ, Prentice A et al. The National Diet & Nutrition Survey: adults aged 19 to 64 years. Volume 4: nutritional status (anthropometry and blood analytes), blood pressure and physical activity.  London: Her Majesty's Stationery Office; 2004.",http://tna.europarchive.org/20110116113217/http:/www.food.gov.uk/multimedia/pdfs/ndnsfour.pdf,,1016,"Sukumar N, Adaikalakoteswari A, Venkataraman H, Maheswaran H, Saravanan P. Vitamin B12 status in women of childbearing age in the UK and its relationship with national nutrient intake guidelines: results from two National Diet and Nutrition Surveys. BMJ Open. 2016;6:e011247. doi: 10.1136/bmjopen-2016-011247",http://bmjopen.bmj.com/content/6/8/e011247.long,10030,verified
25-Hydroxyvitamin D,GBR,United Kingdom of Great Britain and Northern,national,,both urban and rural,2001,7,2000,6,2001,"Non-pregnant, non-lactating women (NPNLW)",Female,Year,19,24,78,nmol/L,44.5,,39.3,23.77,,,,<25 nmol/L,28,,,Venipuncture,Blood plasma,Casual,Radioimmunoassay (RIA),,"Measured using the DiaSorin (previously Incstar, Minnesota, USA) 25(OH)-vitamin D RIA kit based on the developmental work of Hollis et al (Clin Chem 1993; 39:529-33). QC with internal and external procedures, including internal pool of human plasma, spiked serum with assigned 25(OH)D value provided in kit, serum with assigned 25(OH)D value from BioRad and participation in DEQAS. Traditional cut-off value (<25 nmol/L) reported in database. Prevalence at alternative cut-off values reported in Ref 37,Table 4.33 (page 82).  Prevalence by season reported in Table 4.34 (page 82).","Postal sectors (152) were selected with probability proportional to the number of postal delivery points. From each sector, 40 addresses were randomly selected. One eligible subject was selected at random from each household. Of the 3704 eligible households (out of 5673 selected), 1419 consented to a blood sample. A blood sample was obtained from 1347 subjects.  Survey only included subjects aged 19-64 years living in private households who were not pregnant or breast feeding.",All seasons,5847,32,"Hoare J, Henderson L, Bates CJ, Prentice A, Birch M, Swan G, Farron M. The National Diet & Nutrition Survey: adults aged 19 to 64 years. Volume 5: Summary report. Norwich: Her Majesty's Stationery Office; 2004.",http://tna.europarchive.org/20110116113217/http://www.food.gov.uk/science/dietarysurveys/ndnsdocuments/ndnsprevioussurveyreports/ndnsvol52004,4154,37,"Ruston D, Hoare J, Henderson L, Gregory J, Bates CJ, Prentice A et al. The National Diet & Nutrition Survey: adults aged 19 to 64 years. Volume 4: nutritional status (anthropometry and blood analytes), blood pressure and physical activity.  London: Her Majesty's Stationery Office; 2004.",http://tna.europarchive.org/20110116113217/http:/www.food.gov.uk/multimedia/pdfs/ndnsfour.pdf,,1016,"Sukumar N, Adaikalakoteswari A, Venkataraman H, Maheswaran H, Saravanan P. Vitamin B12 status in women of childbearing age in the UK and its relationship with national nutrient intake guidelines: results from two National Diet and Nutrition Surveys. BMJ Open. 2016;6:e011247. doi: 10.1136/bmjopen-2016-011247",http://bmjopen.bmj.com/content/6/8/e011247.long,10030,verified
25-Hydroxyvitamin D,GBR,United Kingdom of Great Britain and Northern,national,,both urban and rural,2001,7,2000,6,2001,"Non-pregnant, non-lactating women (NPNLW)",Female,Year,19,64,670,nmol/L,49.6,,46.5,23.96,,,,<25 nmol/L,15,,,Venipuncture,Blood plasma,Casual,Radioimmunoassay (RIA),,"Measured using the DiaSorin (previously Incstar, Minnesota, USA) 25(OH)-vitamin D RIA kit based on the developmental work of Hollis et al (Clin Chem 1993; 39:529-33). QC with internal and external procedures, including internal pool of human plasma, spiked serum with assigned 25(OH)D value provided in kit, serum with assigned 25(OH)D value from BioRad and participation in DEQAS. Traditional cut-off value (<25 nmol/L) reported in database. Prevalence at alternative cut-off values reported in Ref 37,Table 4.33 (page 82).  Prevalence by season reported in Table 4.34 (page 82).","Postal sectors (152) were selected with probability proportional to the number of postal delivery points. From each sector, 40 addresses were randomly selected. One eligible subject was selected at random from each household. Of the 3704 eligible households (out of 5673 selected), 1419 consented to a blood sample. A blood sample was obtained from 1347 subjects.  Survey only included subjects aged 19-64 years living in private households who were not pregnant or breast feeding.",All seasons,5847,32,"Hoare J, Henderson L, Bates CJ, Prentice A, Birch M, Swan G, Farron M. The National Diet & Nutrition Survey: adults aged 19 to 64 years. Volume 5: Summary report. Norwich: Her Majesty's Stationery Office; 2004.",http://tna.europarchive.org/20110116113217/http://www.food.gov.uk/science/dietarysurveys/ndnsdocuments/ndnsprevioussurveyreports/ndnsvol52004,4154,37,"Ruston D, Hoare J, Henderson L, Gregory J, Bates CJ, Prentice A et al. The National Diet & Nutrition Survey: adults aged 19 to 64 years. Volume 4: nutritional status (anthropometry and blood analytes), blood pressure and physical activity.  London: Her Majesty's Stationery Office; 2004.",http://tna.europarchive.org/20110116113217/http:/www.food.gov.uk/multimedia/pdfs/ndnsfour.pdf,,1016,"Sukumar N, Adaikalakoteswari A, Venkataraman H, Maheswaran H, Saravanan P. Vitamin B12 status in women of childbearing age in the UK and its relationship with national nutrient intake guidelines: results from two National Diet and Nutrition Surveys. BMJ Open. 2016;6:e011247. doi: 10.1136/bmjopen-2016-011247",http://bmjopen.bmj.com/content/6/8/e011247.long,10030,verified
